title,Month,year,Budget($M),length,rating,votes,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,label
The Faculty,Dec,1998,15.0,104,6.1,13143,R,0,0,0,0,0,0,0,0
The Piano,Nov,1993,7.0,121,7.4,12394,,0,0,0,1,0,1,0,0
I Still Know What You Did Last Summer,Nov,1998,24.0,100,4.0,9524,R,0,0,0,0,0,0,0,0
Caddyshack,Jul,1980,6.0,98,7.1,13453,,0,0,1,0,0,0,0,0
Crocodile Dundee in Los Angeles,Apr,2001,25.0,92,4.7,2698,PG,0,0,1,1,0,0,0,0
Hocus Pocus,Jul,1993,28.0,96,5.3,3256,,0,0,1,0,0,0,0,0
Anna and the King,Dec,1999,75.0,148,6.6,6739,PG-13,0,0,0,1,0,1,0,0
The Legend of Bagger Vance,Nov,2000,60.0,126,6.4,7123,PG-13,0,0,1,1,0,1,0,0
Primary Colors,Mar,1998,65.0,143,6.8,7756,R,0,0,1,1,0,0,0,0
Yentl,Nov,1983,12.0,132,5.7,2030,,0,0,1,1,0,1,0,0
Clockstoppers,Mar,2002,26.0,94,5.1,2555,PG,0,0,0,0,0,0,0,0
Little Shop of Horrors,Dec,1986,30.0,94,6.4,8911,,0,0,1,0,0,0,0,0
Urban Legends: Final Cut,Sep,2000,15.0,97,3.8,3280,R,0,0,0,0,0,0,0,0
The Ghost and the Darkness,Oct,1996,55.0,109,6.4,8360,R,1,0,0,1,0,0,0,0
The Ghost and the Darkness,Oct,1996,55.0,109,6.4,8360,R,1,0,0,1,0,0,0,0
What's the Worst That Could Happen?,Jun,2001,30.0,97,5.0,2531,PG-13,0,0,1,0,0,0,0,0
Beauty Shop,Mar,2005,25.0,104,4.6,518,PG-13,0,0,1,0,0,0,0,0
After the Sunset,Nov,2004,57.0,97,6.0,3431,PG-13,1,0,1,0,0,0,0,0
After the Sunset,Nov,2004,57.0,97,6.0,3431,PG-13,1,0,1,0,0,0,0,0
Head of State,Mar,2003,35.2,95,5.1,2960,PG-13,0,0,1,0,0,0,0,0
Annie Hall,Apr,1977,4.0,93,8.3,21462,,0,0,1,0,0,1,0,0
The Original Kings of Comedy,Aug,2000,3.0,115,6.1,1386,R,0,0,1,0,1,0,0,0
Quest for Camelot,May,1998,40.0,74,5.4,974,,0,1,1,1,0,0,0,0
The Running Man,Nov,1987,30.0,101,6.2,11847,,1,0,0,0,0,0,0,0
Spaceballs,Jun,1987,22.7,96,6.7,20054,,0,0,1,0,0,0,0,0
The Banger Sisters,Sep,2002,10.0,98,5.6,3189,R,0,0,1,1,0,0,0,0
Sgt. Bilko,Mar,1996,39.0,93,5.1,3712,PG,0,0,1,0,0,0,0,0
Emma,Aug,1996,5.9,121,6.9,6431,PG,0,0,1,0,0,1,0,0
The Black Stallion,Oct,1979,2.7,118,7.0,1822,,0,0,0,0,0,0,0,0
Showgirls,Sep,1995,40.0,131,3.8,11483,NC-17,0,0,0,1,0,0,0,0
How Stella Got Her Groove Back,Aug,1998,20.0,124,5.0,1475,R,0,0,0,1,0,1,0,0
Halloween: Resurrection,Jul,2002,15.0,89,4.3,4323,R,0,0,0,0,0,0,0,0
Tom Jones,Oct,1963,1.0,128,7.2,1392,,0,0,1,0,0,1,0,0
Bill & Ted's Bogus Journey,Jul,1991,20.0,93,5.6,8152,,0,0,1,0,0,0,0,0
Oliver!,Dec,1968,10.0,153,7.3,3310,,0,0,0,1,0,0,0,0
Time Bandits,Nov,1981,12.0,110,6.9,9434,,0,0,1,0,0,0,0,0
The Majestic,Dec,2001,72.0,156,6.7,8649,PG,0,0,0,1,0,1,0,0
Psycho,Dec,1998,20.0,105,5.0,7255,R,0,0,0,0,0,0,0,0
Jersey Girl,Mar,2004,35.0,102,6.4,6853,PG-13,0,0,1,1,0,0,0,0
The Bachelor,Nov,1999,21.0,101,5.0,4183,PG-13,0,0,1,0,0,1,0,0
My Favorite Martian,Feb,1999,60.0,93,4.5,1942,PG,0,0,1,0,0,0,0,0
Kiss of the Dragon,Jul,2001,25.0,98,6.2,7887,R,1,0,0,1,0,0,0,0
Titan A.E.,Jun,2000,75.0,94,6.4,9373,PG,1,1,0,0,0,0,0,0
"Sex, Lies, and Videotape",Aug,1989,1.2,100,7.1,7461,,0,0,0,1,0,0,0,0
Eight Legged Freaks,Jul,2002,30.0,99,5.5,6362,PG-13,1,0,1,0,0,0,0,0
The Adventures of Pinocchio,Jul,1996,25.0,92,5.6,577,,0,0,0,0,0,0,0,0
Shine,Nov,1996,5.5,105,7.6,12425,PG-13,0,0,0,1,0,1,0,0
Hotel Rwanda,Dec,2004,17.5,121,8.5,8328,PG-13,0,0,0,1,0,0,0,0
The Glimmer Man,Oct,1996,45.0,88,4.8,2606,R,1,0,0,1,0,0,0,0
Alive,Jan,1993,32.0,127,6.7,5786,,1,0,0,1,0,0,0,0
Mad Max Beyond Thunderdome,Jul,1985,10.0,107,5.8,8207,,1,0,0,0,0,0,0,0
Silent Movie,Jun,1976,4.4,87,6.3,2321,,0,0,1,0,0,0,0,0
Set It Off,Nov,1996,9.0,123,6.1,1619,R,1,0,0,1,0,0,0,0
Garden State,Jul,2004,2.5,109,8.1,23814,R,0,0,1,1,0,1,0,0
The Greatest Show on Earth,Jan,1952,4.0,152,6.7,1361,,0,0,0,1,0,1,0,0
The Robe,Sep,1953,5.0,135,6.6,1074,,0,0,0,1,0,0,0,0
What a Girl Wants,Apr,2003,25.0,105,5.7,3533,PG,0,0,1,1,0,1,0,0
Taps,Dec,1981,14.0,126,6.4,2568,,0,0,0,1,0,0,0,0
The Black Hole,Dec,1979,20.0,98,5.4,3425,,0,0,0,0,0,0,0,0
My Dog Skip,Jan,2000,7.0,95,7.1,3109,PG,0,0,0,1,0,0,0,0
The Indian in the Cupboard,Jul,1995,45.0,96,5.8,1430,PG,0,0,0,0,0,0,0,0
Selena,Mar,1997,20.0,127,6.1,2870,PG,0,0,0,1,0,0,0,0
Alfie,Nov,2004,40.0,103,6.0,3492,R,0,0,1,1,0,0,0,0
The Adventures of Rocky & Bullwinkle,Jun,2000,76.0,88,4.3,4815,PG,0,1,1,0,0,0,0,0
Commando,Oct,1985,10.0,75,5.7,10797,,1,0,1,0,0,0,0,0
The Skulls,Mar,2000,15.0,106,5.3,6530,PG-13,0,0,0,1,0,0,0,0
The Life Aquatic with Steve Zissou,Dec,2004,50.0,118,7.3,9170,R,0,0,1,1,0,0,0,0
Dangerous Liaisons,Dec,1988,14.0,119,7.6,12559,,0,0,0,1,0,1,0,0
Nixon,Dec,1995,45.0,212,6.8,5837,R,0,0,0,1,0,0,0,0
Everyone Says I Love You,Dec,1996,20.0,101,6.9,7314,R,0,0,1,0,0,1,0,0
Hawaii,Oct,1966,15.0,189,6.1,447,,0,0,0,1,0,0,0,0
That Thing You Do!,Oct,1996,2.5,108,6.6,11701,,0,0,1,1,0,0,0,0
Woodstock,Mar,1970,0.6,216,7.6,2540,,0,0,0,0,1,0,0,0
Malibu's Most Wanted,Apr,2003,15.0,86,4.9,2099,PG-13,0,0,1,0,0,0,0,0
The Usual Suspects,Aug,1995,6.0,106,8.7,103854,R,0,0,0,0,0,0,0,0
The Doors,Mar,1991,40.0,140,6.7,10363,,0,0,0,1,0,0,0,0
Swimfan,Sep,2002,10.0,85,4.5,3863,PG-13,0,0,0,1,0,0,0,0
Sling Blade,Nov,1996,4.83361,135,8.0,20361,R,0,0,0,1,0,0,0,0
Child's Play 2,Nov,1990,13.0,84,4.5,2327,,0,0,1,0,0,0,0,0
Instinct,Jun,1999,55.0,126,6.1,6298,R,0,0,0,1,0,0,0,0
Instinct,Jun,1999,55.0,126,6.1,6298,R,0,0,0,1,0,0,0,0
Flight of the Phoenix,Dec,2004,75.0,113,6.0,2732,PG-13,1,0,0,0,0,0,0,0
Day of the Dead,Jun,1985,3.5,97,6.5,5053,,0,0,0,1,0,0,0,0
The Relic,Jan,1997,60.0,110,5.3,5102,R,0,0,0,0,0,0,0,0
Jay and Silent Bob Strike Back,Aug,2001,22.0,104,6.9,24211,R,0,0,1,0,0,0,0,0
The Wizard of Oz,Aug,1939,2.7769999999999997,112,8.3,38386,,0,0,0,0,0,0,0,0
Friday After Next,Nov,2002,10.0,85,4.9,1659,R,0,0,1,0,0,0,0,0
Because of Winn-Dixie,Feb,2005,15.0,106,5.9,483,PG,0,0,1,1,0,0,0,0
Red Planet,Nov,2000,80.0,106,5.3,8623,PG-13,1,0,0,0,0,0,0,0
Mystery Men,Aug,1999,68.0,121,5.8,13331,PG-13,1,0,1,0,0,0,0,0
The Long Kiss Goodnight,Oct,1996,65.0,120,6.5,12516,R,1,0,0,1,0,0,0,0
The Crocodile Hunter: Collision Course,Jul,2002,12.5,90,5.3,1648,PG,0,0,1,0,0,0,0,0
Black Knight,Nov,2001,35.0,95,4.1,3822,PG-13,0,0,1,0,0,0,0,0
Wonder Boys,Feb,2000,35.0,111,7.6,15668,R,0,0,1,1,0,0,0,0
Rosemary's Baby,Jun,1968,3.2,136,7.9,12033,,0,0,0,1,0,0,0,0
Planet of the Apes,Feb,1968,5.8,107,7.9,20516,,1,0,0,1,0,0,0,0
The Bridge on the River Kwai,Dec,1957,3.0,161,8.4,22408,,0,0,0,1,0,0,0,0
Silverado,Jul,1985,26.0,127,7.0,6118,,1,0,0,1,0,0,0,0
Blade Runner,Jun,1982,28.0,117,8.2,74749,,1,0,0,1,0,0,0,0
Confessions of a Teenage Drama Queen,Feb,2004,15.0,89,4.4,2205,PG,0,0,1,0,0,0,0,0
Hart's War,Feb,2002,70.0,125,6.2,6368,R,0,0,0,1,0,0,0,0
Confessions of a Dangerous Mind,Dec,2002,29.0,113,7.1,11487,R,0,0,0,1,0,0,0,0
Dracula 2000,Dec,2000,28.0,99,4.9,5364,R,0,0,0,0,0,0,0,0
The Last Dragon,Mar,1985,10.0,109,5.6,1343,,1,0,0,1,0,0,0,0
Mercury Rising,Apr,1998,60.0,108,5.6,8202,R,1,0,0,1,0,0,0,0
Luther,Sep,2003,35.0,121,7.1,1567,PG-13,0,0,0,1,0,0,0,0
Return to Me,Apr,2000,24.0,115,6.9,5057,PG,0,0,1,1,0,1,0,0
Coming Home,Jan,1978,3.0,126,7.2,1539,,0,0,0,1,0,0,0,0
Being John Malkovich,Oct,1999,13.0,113,7.9,55079,,0,0,1,1,0,0,0,0
Kingpin,Jul,1996,25.0,117,6.6,10643,PG-13,0,0,1,0,0,0,0,0
The Lost Boys,Jul,1987,8.5,97,6.7,11294,,0,0,1,0,0,0,0,0
The Lawnmower Man,Mar,1992,10.0,140,5.0,5799,,1,0,0,0,0,0,0,0
Copycat,Oct,1995,20.0,123,6.5,7804,R,0,0,0,1,0,0,0,0
The Age of Innocence,Sep,1993,34.0,139,7.1,6049,,0,0,0,1,0,1,0,0
Dressed to Kill,Jan,1980,6.5,104,6.9,3481,,0,0,0,0,0,0,0,0
The Shadow,Jul,1994,40.0,108,5.2,3386,,1,0,0,0,0,0,0,0
Lake Placid,Jul,1999,27.0,82,5.2,7836,R,1,0,1,0,0,0,0,0
Pinocchio,Dec,2002,45.0,112,3.9,939,,0,0,1,0,0,0,0,0
Paint Your Wagon,Oct,1969,20.0,158,6.5,2011,PG-13,0,0,1,0,0,0,0,0
History of the World: Part I,Jun,1981,11.0,97,6.4,5640,,0,0,1,0,0,0,0,0
The Girl Next Door,Apr,2004,25.0,110,6.8,10452,R,0,0,1,0,0,1,0,0
Benji,Nov,1974,0.5,86,5.7,679,,0,0,0,0,0,0,0,0
Rob Roy,Apr,1995,28.0,133,6.8,6652,R,1,0,0,1,0,1,0,0
The Iron Giant,Aug,1999,50.0,86,7.9,15151,PG,0,1,0,0,0,0,0,0
Lost Souls,Oct,2000,28.0,97,4.6,3423,R,0,0,0,0,0,0,0,0
Johnson Family Vacation,Apr,2004,12.0,97,3.6,955,PG-13,0,0,1,0,0,0,0,0
How High,Dec,2001,12.0,95,4.9,2916,R,0,0,1,0,0,0,0,0
Grosse Pointe Blank,Apr,1997,15.0,107,7.4,20400,R,0,0,1,0,0,1,0,0
High Anxiety,Dec,1977,3.4,94,6.4,2557,,0,0,1,0,0,0,0,0
Joe Dirt,Apr,2001,16.0,91,5.1,5514,PG-13,0,0,1,0,0,1,0,0
Hearts in Atlantis,Sep,2001,31.0,101,6.7,6577,PG-13,0,0,0,1,0,0,0,0
The Princess Bride,Sep,1987,15.0,98,8.2,53946,,0,0,1,0,0,1,0,0
Superstar,Oct,1999,14.0,81,4.5,2880,PG-13,0,0,1,0,0,0,0,0
Flipper,May,1996,25.53,95,5.0,883,,0,0,0,0,0,0,0,0
From Here to Eternity,Aug,1953,1.65,118,7.9,5995,,0,0,0,1,0,1,0,0
Shaun of the Dead,Sep,2004,5.0,99,7.9,18685,R,0,0,1,0,0,0,0,0
A Night at the Roxbury,Oct,1998,17.0,81,5.1,5937,,0,0,1,0,0,0,0,0
Queen of the Damned,Feb,2002,35.0,104,4.7,6999,R,0,0,0,0,0,0,0,0
Night of the Living Dead,Oct,1968,0.114,90,7.6,11590,,0,0,0,0,0,0,0,0
Dragonfly,Feb,2002,60.0,104,5.8,5431,PG-13,0,0,0,1,0,0,0,0
Road House,May,1989,10.0,114,5.4,3475,,1,0,0,1,0,0,0,0
Laws of Attraction,Apr,2004,32.0,90,5.7,2349,PG-13,0,0,1,0,0,1,0,0
Small Time Crooks,May,2000,18.0,94,6.5,6218,PG,0,0,1,0,0,1,0,0
The Four Feathers,Sep,2002,35.0,125,6.2,4400,PG-13,0,0,0,1,0,0,0,0
Double Take,Jan,2001,24.0,91,4.8,1503,PG-13,1,0,1,0,0,0,0,0
Riding in Cars with Boys,Oct,2001,47.0,132,6.2,4627,PG-13,0,0,1,1,0,0,0,0
Battlefield Earth: A Saga of the Year 3000,May,2000,80.0,119,2.4,14970,PG-13,1,0,0,0,0,0,0,0
Angel Eyes,May,2001,38.0,102,5.6,4829,R,0,0,0,1,0,1,0,0
Twilight Zone: The Movie,Jun,1983,10.0,120,6.0,4458,,0,0,0,0,0,0,0,0
The Pledge,Jan,2001,45.0,123,6.9,9852,R,0,0,0,1,0,0,0,0
The Prince & Me,Apr,2004,30.0,111,5.6,2412,PG,0,0,1,0,0,1,0,0
A Low Down Dirty Shame,Nov,1994,10.0,100,5.2,699,,1,0,1,0,0,0,0,0
Bulworth,May,1998,30.0,108,6.9,8277,,0,0,1,1,0,1,0,0
The Rose,Nov,1979,8.5,125,6.6,1076,,0,0,0,1,0,0,0,0
Double Impact,Aug,1991,16.0,109,4.5,2749,,1,0,0,0,0,0,0,0
Wolf Creek,Dec,2005,1.1,95,4.8,33,,0,0,0,0,0,0,0,0
The New Guy,May,2002,13.0,89,5.2,4266,PG-13,0,0,1,0,0,0,0,0
The Life of David Gale,Feb,2003,50.0,130,7.1,10580,R,0,0,0,1,0,0,0,0
The Upside of Anger,Mar,2005,12.0,118,7.2,1160,R,0,0,1,1,0,1,0,0
The Player,Apr,1992,8.0,124,7.7,13647,R,0,0,1,1,0,0,0,0
"Girl, Interrupted",Dec,1999,24.0,127,7.0,16362,R,0,0,0,1,0,0,0,0
Boiler Room,Feb,2000,9.0,118,6.8,8586,R,0,0,0,1,0,0,0,0
Baby Boy,Jun,2001,16.0,130,6.2,1476,R,0,0,0,1,0,1,0,0
Agent Cody Banks 2: Destination London,Mar,2004,26.0,100,3.8,919,PG,1,0,1,0,0,0,0,0
American Psycho,Apr,2000,8.0,102,6.8,21639,R,0,0,0,1,0,0,0,0
The Out-of-Towners,Apr,1999,40.0,90,5.0,2919,PG-13,0,0,1,0,0,0,0,0
Hoffa,Dec,1992,35.0,140,6.3,2481,,0,0,0,1,0,0,0,0
A Man for All Seasons,Dec,1966,3.9,120,8.0,4356,,0,0,0,1,0,0,0,0
Taxi Driver,Feb,1976,1.0,110,8.5,47873,,0,0,0,1,0,0,0,0
Brown Sugar,Oct,2002,8.0,109,5.9,941,PG-13,0,0,1,1,0,1,0,0
The Shawshank Redemption,Sep,1994,25.0,142,9.1,149494,R,0,0,0,1,0,0,0,0
Thunderbirds,Jul,2004,55.0,95,4.4,1419,PG,1,0,1,0,0,0,0,0
Thunderbirds,Jul,2004,55.0,95,4.4,1419,PG,1,0,1,0,0,0,0,0
Loaded Weapon 1,Feb,1993,13.0,84,5.4,6485,,1,0,1,0,0,0,0,0
Friday,Apr,1995,3.5,91,6.7,7020,R,0,0,1,1,0,0,0,0
Air Bud,Aug,1997,3.0,98,4.7,1276,PG,0,0,1,1,0,0,0,0
Saving Grace,Aug,2000,4.0,94,6.9,3912,R,0,0,1,0,0,0,0,0
Nurse Betty,Sep,2000,24.0,110,6.6,10441,R,0,0,1,1,0,1,0,0
Menace II Society,May,1993,3.5,97,7.3,4704,R,1,0,0,1,0,0,0,0
To Die For,Sep,1995,20.0,110,6.7,7737,,0,0,1,1,0,0,0,0
The Island of Dr. Moreau,Aug,1996,40.0,99,4.0,5983,PG-13,0,0,0,0,0,0,0,0
Michael Collins,Oct,1996,25.0,133,6.8,5009,,0,0,0,1,0,0,0,0
The Muppet Christmas Carol,Dec,1992,12.0,89,6.9,3356,,0,0,0,0,0,0,0,0
Poetic Justice,Jul,1993,14.0,109,5.0,1207,,0,0,0,1,0,1,0,0
Dune,Dec,1984,45.0,190,6.3,16903,,1,0,0,0,0,0,0,0
Dark City,Feb,1998,27.0,100,7.6,23508,,0,0,0,0,0,0,0,0
A Passage to India,Dec,1984,27.5,163,7.3,2141,,0,0,0,1,0,0,0,0
Baby Geniuses,Mar,1999,13.0,97,2.4,3142,PG,0,0,1,0,0,0,0,0
Flash Gordon,Dec,1980,35.0,111,5.7,5626,,1,0,0,0,0,0,0,0
The Story of Us,Oct,1999,50.0,95,5.6,4953,R,0,0,1,1,0,1,0,0
Fast Times at Ridgemont High,Aug,1982,4.5,90,7.1,10361,,0,0,1,0,0,0,0,0
The Big Hit,Apr,1998,13.0,91,5.7,6206,R,1,0,1,0,0,0,0,0
The Musketeer,Sep,2001,40.0,104,4.4,3966,PG-13,1,0,0,1,0,1,0,0
Spy Hard,May,1996,18.0,81,4.5,4686,PG-13,1,0,1,0,0,0,0,0
Tron,Jul,1982,17.0,96,6.4,9084,,1,0,0,0,0,0,0,0
Eye for an Eye,Jan,1996,20.0,101,5.6,1843,R,0,0,0,1,0,0,0,0
One True Thing,Sep,1998,30.0,127,7.0,2534,R,0,0,0,1,0,0,0,0
Timeline,Nov,2003,80.0,116,5.2,5803,PG-13,0,0,0,0,0,0,0,0
Event Horizon,Aug,1997,60.0,96,5.7,15510,R,0,0,0,0,0,0,0,0
Blast from the Past,Feb,1999,35.0,112,6.4,9483,PG-13,0,0,1,1,0,1,0,0
Glory,Dec,1989,18.0,122,8.1,21861,,1,0,0,1,0,0,0,0
Harriet the Spy,Jul,1996,13.0,100,5.8,845,PG,0,0,1,1,0,0,0,0
The Great Gatsby,Mar,1974,7.0,144,6.1,2419,,0,0,0,1,0,1,0,0
Conan the Destroyer,Jun,1984,18.0,103,5.2,6839,,1,0,0,0,0,0,0,0
The Quiet American,Nov,2002,20.0,101,7.4,5957,R,0,0,0,1,0,1,0,0
The Whole Ten Yards,Apr,2004,30.0,98,4.8,4133,PG-13,0,0,1,0,0,0,0,0
Howards End,Mar,1992,8.0,140,7.4,5098,,0,0,0,1,0,0,0,0
Dumb and Dumberer: When Harry Met Lloyd,Jun,2003,30.0,85,3.3,4689,PG-13,0,0,1,0,0,0,0,0
Blood Work,Aug,2002,50.0,110,6.3,5965,R,0,0,0,1,0,0,0,0
Fair Game,Nov,1995,50.0,91,3.9,2579,R,1,0,1,1,0,0,0,0
The Elephant Man,Oct,1980,5.0,124,8.2,16422,,0,0,0,1,0,0,0,0
Do the Right Thing,Jun,1989,6.0,120,7.7,9324,,0,0,1,1,0,0,0,0
The Cotton Club,Dec,1984,48.0,127,6.2,2663,,0,0,0,1,0,0,0,0
Cry Freedom,Nov,1987,29.0,157,7.1,1705,,0,0,0,1,0,0,0,0
Carrie,Nov,1976,1.8,98,7.2,11778,,0,0,0,1,0,0,0,0
All About the Benjamins,Mar,2002,14.0,95,5.4,1250,R,1,0,1,0,0,0,0,0
Saving Silverman,Feb,2001,22.0,96,5.4,6684,R,0,0,1,0,0,1,0,0
Rollerball,Feb,2002,70.0,97,2.8,5328,R,1,0,0,0,0,0,0,0
Shadowlands,Dec,1993,22.0,131,7.4,4085,,0,0,0,1,0,1,0,0
From Dusk Till Dawn,Jan,1996,20.0,108,6.8,28473,R,1,0,1,0,0,0,0,0
Ice Princess,Mar,2005,25.0,92,5.7,449,,0,0,1,1,0,0,0,0
The Outsiders,Mar,1983,10.0,91,6.8,7125,PG-13,0,0,0,1,0,0,0,0
Jonah: A VeggieTales Movie,Oct,2002,14.0,82,6.2,810,,0,1,1,0,0,0,0,0
Halloween II,Oct,1981,2.5,90,5.7,5157,,0,0,0,0,0,0,0,0
Desperado,Aug,1995,7.0,106,6.8,17929,R,1,0,0,0,0,0,0,0
Escape from L.A.,Aug,1996,50.0,101,4.8,7955,R,1,0,0,0,0,0,0,0
Can't Hardly Wait,Jun,1998,10.0,101,6.2,8191,PG-13,0,0,1,0,0,1,0,0
25th Hour,Dec,2002,4.5,135,7.8,15788,R,0,0,0,1,0,0,0,0
Escape from New York,Jul,1981,6.0,99,6.8,9924,,1,0,0,0,0,0,0,0
Corky Romano,Oct,2001,11.0,86,4.6,2463,PG-13,0,0,1,0,0,0,0,0
Cursed,Feb,2005,35.0,97,4.7,1277,R,0,0,0,0,0,0,0,0
Midnight in the Garden of Good and Evil,Nov,1997,35.0,155,6.4,8517,R,0,0,0,1,0,0,0,0
The Wood,Jul,1999,6.0,102,6.2,1170,R,0,0,1,1,0,1,0,0
Wyatt Earp,Jun,1994,63.0,212,6.1,5248,,0,0,0,0,0,0,0,0
Mommie Dearest,Sep,1981,5.0,129,6.2,1696,,0,0,0,1,0,0,0,0
Exorcist II: The Heretic,Jun,1977,14.0,118,3.5,3009,,0,0,0,1,0,0,0,0
The Stewardesses,Jul,1969,0.2,93,3.8,25,,0,0,1,1,0,0,0,0
Logan's Run,Jan,1976,7.0,120,6.5,5441,,1,0,0,0,0,0,0,0
Catch-22,Jun,1970,18.0,122,7.0,3463,,0,0,1,0,0,0,0,0
Seed of Chucky,Nov,2004,29.0,87,5.1,1342,R,0,0,1,0,0,0,0,0
The Apartment,Jun,1960,3.0,125,8.4,11214,,0,0,1,1,0,1,0,0
Punch-Drunk Love,Oct,2002,25.0,95,7.5,18169,R,0,0,1,1,0,1,0,0
Joe Somebody,Dec,2001,38.0,98,5.5,1937,PG,0,0,1,1,0,1,0,0
Modern Problems,Dec,1981,8.0,93,4.6,874,,0,0,1,0,0,0,0,0
Notorious,Jan,1946,2.0,101,8.3,10637,,0,0,0,0,0,1,0,0
Arlington Road,Jul,1999,21.5,117,7.1,17189,R,0,0,0,1,0,0,0,0
The Shipping News,Dec,2001,35.0,111,6.9,7695,R,0,0,0,1,0,1,0,0
In the Heat of the Night,Aug,1967,2.0,109,8.0,6752,,0,0,0,1,0,0,0,0
The Next Best Thing,Mar,2000,25.0,108,4.7,3131,PG-13,0,0,1,1,0,0,0,0
Renaissance Man,Jun,1994,40.0,128,5.7,3196,,0,0,1,1,0,0,0,0
The Adventures of Huck Finn,Apr,1993,6.5,108,5.9,1134,,0,0,0,1,0,0,0,0
Swimming Pool,Jul,2003,7.8,103,6.9,6936,R,0,0,0,1,0,0,0,0
Virtuosity,Aug,1995,30.0,106,5.3,4183,R,1,0,0,0,0,0,0,0
The Alamo,Apr,2004,92.0,137,5.9,3060,PG-13,1,0,0,1,0,0,0,0
Graduation Day,May,1981,0.25,96,3.5,153,,0,0,0,0,0,0,0,0
Life as a House,Oct,2001,18.0,127,7.5,7696,R,0,0,1,1,0,0,0,0
House of Wax,Apr,1953,0.6579999999999999,90,6.9,1386,,0,0,0,0,0,0,0,0
Dickie Roberts: Former Child Star,Sep,2003,17.0,98,5.5,2076,PG-13,0,0,1,0,0,0,0,0
In the Cut,Oct,2003,12.0,119,5.1,4525,R,0,0,0,0,0,0,0,0
Network,Jan,1976,3.8,121,8.0,9501,,0,0,0,1,0,0,0,0
The Best Years of Our Lives,Nov,1946,2.1,172,8.4,6138,,0,0,0,1,0,1,0,0
Raging Bull,Nov,1980,18.0,129,8.4,26739,,0,0,0,1,0,0,0,0
Antwone Fisher,Dec,2002,12.5,117,7.4,4472,PG-13,0,0,0,1,0,0,0,0
Reindeer Games,Feb,2000,36.0,124,5.5,7120,R,1,0,0,1,0,0,0,0
Rounders,Sep,1998,12.0,121,7.2,13621,R,0,0,0,1,0,0,0,0
Ella Enchanted,Apr,2004,35.0,96,6.5,2502,PG,0,0,1,0,0,1,0,0
The Juror,Feb,1996,44.0,118,5.3,2920,R,0,0,0,1,0,0,0,0
Prophecy,Jun,1979,12.0,102,4.0,427,,0,0,0,0,0,0,0,0
Drive Me Crazy,Oct,1999,8.0,91,5.1,2934,PG-13,0,0,1,1,0,1,0,0
Much Ado About Nothing,May,1993,8.0,111,7.5,12491,,0,0,1,0,0,1,0,0
City by the Sea,Sep,2002,40.0,108,6.3,4886,R,0,0,0,1,0,0,0,0
He Got Game,May,1998,25.0,137,6.6,4198,R,0,0,0,1,0,0,0,0
Two Can Play That Game,Sep,2001,13.0,93,5.8,843,R,0,0,1,0,0,1,0,0
At First Sight,Jan,1999,40.0,128,5.7,3441,PG-13,0,0,0,1,0,0,0,0
My Fellow Americans,Dec,1996,21.5,101,6.3,2752,PG-13,0,0,1,0,0,0,0,0
Super Size Me,May,2004,0.065,100,7.7,9487,PG-13,0,0,0,0,1,0,0,0
A Nightmare On Elm Street: The Dream Child,Aug,1989,6.0,89,4.3,2988,,0,0,1,0,0,0,0,0
Home for the Holidays,Nov,1995,20.0,103,6.2,2289,PG-13,0,0,1,1,0,1,0,0
The Medallion,Aug,2003,41.0,88,4.5,2765,PG-13,1,0,1,0,0,0,0,0
Man of the House,Feb,2005,50.0,97,5.2,511,PG-13,1,0,1,0,0,0,0,0
Don Juan DeMarco,Apr,1995,25.0,97,6.5,6857,,0,0,1,1,0,1,0,0
The Big Parade,Nov,1925,0.245,126,8.7,435,,0,0,0,1,0,1,0,0
Joy Ride,Oct,2001,23.0,97,6.6,8132,R,0,0,0,0,0,0,0,0
Boys and Girls,Jun,2000,16.0,94,4.9,3483,PG-13,0,0,1,1,0,1,0,0
Little Voice,Dec,1998,6.0,96,7.1,4592,R,0,0,1,1,0,1,0,0
Little Black Book,Aug,2004,30.0,111,4.7,1894,PG-13,0,0,1,1,0,1,0,0
Exodus,Dec,1960,4.0,208,6.8,1161,,1,0,0,1,0,0,0,0
Friday the 13th Part 2,Apr,1981,1.25,87,4.9,3794,,1,0,0,0,0,0,0,0
White Oleander,Oct,2002,16.0,109,6.9,4545,PG-13,0,0,0,1,0,0,0,0
Wicker Park,Sep,2004,30.0,114,6.4,3143,PG-13,0,0,0,1,0,1,0,0
Army of Darkness,Feb,1993,11.0,96,7.4,22118,R,1,0,1,0,0,0,0,0
The Right Stuff,Oct,1983,27.0,193,7.9,12907,,0,0,0,1,0,0,0,0
Quigley Down Under,Oct,1990,20.0,119,6.2,2315,,0,0,0,1,0,0,0,0
The Fog,Feb,1980,1.0,89,6.5,4618,,0,0,0,0,0,0,0,0
The Apostle,Dec,1997,5.0,134,7.2,4231,PG-13,0,0,0,1,0,0,0,0
Raising Cain,Aug,1992,11.0,91,5.4,1885,,0,0,0,0,0,0,0,0
Stir of Echoes,Sep,1999,12.0,99,7.0,11433,R,0,0,0,0,0,0,0,0
Very Bad Things,Nov,1998,10.0,100,5.8,10001,R,0,0,1,0,0,0,0,0
Cat People,Apr,1982,12.5,118,5.8,2862,,0,0,0,1,0,0,0,0
